client_id,district_id,address_1,address_2,city,state,zipcode
C00000001,18,387 Wellington Ave.,Unit 1,Albuquerque,NM,47246
C00000002,1,75 W. Berkshire St.,,New York City,NY,10040
C00000003,1,36 Second St.,,New York City,NY,10162
C00000004,5,7607 Sunnyslope Street,,Indianapolis,IN,49047
C00000005,5,755 Galvin Street,,Indianapolis,IN,40852
C00000006,12,8266 Arnold Drive,Unit 6,Portland,OR,44987
C00000007,15,827 N. Green Lake Court,,Louisville,KY,44359
C00000008,51,817 Joy Ridge Dr.,,Springfield,MA,1101
C00000009,60,68 Carriage Road,,Lynn,MA,1901
C00000010,57,754 Grandrose St.,,New Bedford,MA,2740
C00000011,57,873 Randall Mill Dr.,,New Bedford,MA,2741
C00000012,40,275 Fairground Drive,,Fargo,ND,42009
C00000013,54,7429 Linden Drive,,Houston,TX,47052
C00000014,76,708 Oak Valley St.,,Yonkers,NY,10701
C00000015,21,30 Brown St.,,Omaha,NE,49180
C00000016,21,734 Bay Meadows Street,Unit 80,Omaha,NE,41275
C00000017,76,907 Green Lake Court,,Yonkers,NY,10702
C00000018,76,7463 Griffin St.,,Yonkers,NY,10703
C00000019,47,8095 Devon Court,,Charleston,WV,48126
C00000020,46,597 Foster Street,,San Diego,CA,48787
C00000021,12,6 Devon Court,,Portland,OR,45780
C00000022,1,7062 Temple Court,Unit 1B,New York City,NY,10282
C00000023,1,30 West Westport Dr.,,New York City,NY,10009
C00000024,43,44 Walt Whitman St.,,Wilmington,DE,45260
C00000025,21,92 Fairway Drive,,Omaha,NE,42325
C00000026,74,17 East Glenridge Road,Apt. 3D,Chicago,IL,46300
C00000027,54,88 Second Dr.,,Houston,TX,47795
C00000028,1,125 North Holly Dr.,,New York City,NY,10158
C00000029,30,327 Golf St.,,Boise,ID,48851
C00000030,74,8 Pacific Lane,,Chicago,IL,42552
C00000031,68,9953 Coffee Court,,Cranston,RI,46720
C00000032,52,8163 Sutor Court,,New Haven,CT,45291
C00000033,73,940 Vale Lane,,New Britain,CT,46386
C00000036,7,9675 Tanglewood Drive,,Denver,CO,41755
C00000037,7,50 Elmwood Street,,Denver,CO,48628
C00000038,36,329 Jockey Hollow Court,,Providence,RI,48105
C00000039,68,21 Middle River Drive,,Cranston,RI,43461
C00000040,5,943 N. Birch Hill Avenue,,Indianapolis,IN,42125
C00000041,22,8572 Mill Pond Rd.,,Virginia Beach,VA,45895
C00000042,68,50 Smith Store Ave.,,Cranston,RI,45795
C00000043,75,38 Prairie Street,Unit 81,Rochester,NY,14602
C00000044,38,9461 Rockledge Street,,Bridgeport,CT,44504
C00000045,20,421 Vermont Drive,,Kansas City,MO,42666
C00000046,19,9437 Greystone Drive,,Atlanta,GA,42729
C00000047,76,8953 Jones Street,,Yonkers,NY,10704
C00000048,16,14 Hanover Ave.,Unit 1B,Baltimore,MD,41466
C00000049,72,7715 Prince Dr.,,Philadelphia,PA,43443
C00000050,39,44 Fordham Ave.,,Charleston,SC,48339
C00000051,36,948 Annadale St.,,Providence,RI,48078
C00000052,32,89 Henry Smith St.,,Birmingham,AL,45430
C00000053,64,8661 Dogwood Lane,,Phoenix,AZ,40915
C00000055,45,114 Spring Street,,Cheyenne,WY,44611
C00000056,21,174 Halifax Ave.,,Omaha,NE,40089
C00000057,21,62 South Manor Station Drive,,Omaha,NE,40846
C00000058,1,9122 South Fieldstone Dr.,,New York City,NY,10116
C00000059,1,188 1st Road,,New York City,NY,10199
C00000060,67,8604 Miller Rd.,,Danbury,CT,42452
C00000061,16,8673 Wakehurst Court,,Baltimore,MD,47090
C00000062,77,279 Mechanic Lane,,Syracuse,NY,13201
C00000063,4,9 Iroquois St.,,Charlotte,NC,46324
C00000064,20,9314 Lees Creek Rd.,,Kansas City,MO,40005
C00000065,50,682 Linden Dr.,,Buffalo,NY,14267
C00000066,1,18 Rockville Dr.,,New York City,NY,10087
C00000067,29,388 Fawn Dr.,,Newark,NJ,45151
C00000068,43,9855 Riverview Lane,,Wilmington,DE,45109
C00000070,70,70 Oak Ave.,,Los Angeles,CA,40489
C00000071,70,9886 Ridgeview Street,,Los Angeles,CA,41039
C00000072,47,547 Marconi Court,,Charleston,WV,43117
C00000073,22,9187 Hillcrest Rd.,,Virginia Beach,VA,42612
C00000074,22,7 Ridgeview Street,,Virginia Beach,VA,42021
C00000075,64,35 Walnutwood Ave.,,Phoenix,AZ,41921
C00000076,36,8109 Lake View Road,,Providence,RI,47819
C00000077,1,24 Leatherwood St.,,New York City,NY,10114
C00000078,16,63 Bald Hill Street,,Baltimore,MD,42644
C00000079,37,808 Glenwood Street,,Jackson,MS,42623
C00000080,64,366 Purple Finch Road,,Phoenix,AZ,44952
C00000081,8,874 Riverside Drive,,Washington,DC,48427
C00000082,8,772 Sunnyslope Ave.,,Washington,DC,45679
C00000083,1,619 Whitemarsh Rd.,,New York City,NY,10278
C00000084,1,7100 Wintergreen Street,,New York City,NY,10019
C00000085,1,6 East Young Circle,,New York City,NY,10168
C00000086,1,9360 Bayport Ave.,,New York City,NY,10111
C00000087,72,673 East Ramblewood Street,,Philadelphia,PA,45190
C00000089,1,94 Chestnut Rd.,,New York City,NY,10175
C00000090,52,921 Lake Forest Dr.,,New Haven,CT,42164
C00000091,63,556 South Schoolhouse St.,,Norwalk,CT,40947
C00000092,74,40 Myers Lane,,Chicago,IL,47075
C00000093,3,6 Theatre Street,,Columbus,OH,43964
C00000094,43,353 Birchpond Court,Unit 7,Wilmington,DE,44476
C00000095,43,6 Alderwood Ave.,,Wilmington,DE,43812
C00000096,74,12 Selby Street,,Chicago,IL,44520
C00000097,26,9079 Bald Hill Drive,,Honolulu,HI,42423
C00000098,33,86 Manchester Street,,Salt Lake City,UT,44715
C00000099,33,478 High Ridge Street,,Salt Lake City,UT,40996
C00000100,44,626 Arlington Rd.,Unit 77,Portland,ME,47410
C00000101,68,221 Ashley Rd.,,Cranston,RI,47959
C00000102,74,238 Foxrun St.,,Chicago,IL,48791
C00000103,74,745 Bellevue Lane,,Chicago,IL,42641
C00000105,31,50 Wild Rose Court,,Des Moines,IA,43442
C00000106,68,28 Cypress St.,,Cranston,RI,48179
C00000107,1,9847 Fairway Street,,New York City,NY,10153
C00000108,17,9731 Coffee Court,,Milwaukee,WI,44663
C00000110,2,9638 Carson Rd.,,Jacksonville,FL,40966
C00000112,1,169 Lyme Street,,New York City,NY,10104
C00000113,1,258 Lexington Ave.,,New York City,NY,10022
C00000114,74,39 Buttonwood St.,,Chicago,IL,40296
C00000115,74,9174 Hall Ave.,,Chicago,IL,47307
C00000116,74,441 Dunbar Drive,,Chicago,IL,41687
C00000117,74,45 Jefferson Circle,,Chicago,IL,43629
C00000118,55,142 Lantern St.,,Lowell,MA,1850
C00000119,55,9719 Summit Street,,Lowell,MA,1851
C00000120,1,75 Wood Road,,New York City,NY,10016
C00000121,41,8537 Greenrose Drive,,Manchester,NH,49550
C00000122,35,9417 Green Hill St.,,Sioux Falls,SD,44133
C00000123,11,39 Pawnee Street,,Nashville,TN,41580
C00000124,44,884 Helen St.,,Portland,ME,42152
C00000125,37,7526 Jockey Hollow St.,,Jackson,MS,46846
C00000126,37,178 North Rocky River Rd.,,Jackson,MS,47191
C00000127,21,250 Linda St.,,Omaha,NE,43043
C00000128,63,1 Durham Street,,Norwalk,CT,49053
C00000129,64,3 Rock Maple St.,,Phoenix,AZ,49392
C00000130,53,7527 Atlantic Ave.,,Hartford,CT,46145
C00000131,53,36 Grandrose Circle,,Hartford,CT,42598
C00000132,36,691 Holly Rd.,,Providence,RI,45358
C00000134,6,220 Railroad Street,,Seattle,WA,42012
C00000135,6,733 Birchwood Street,,Seattle,WA,45858
C00000136,55,16 NW. Rosewood Drive,,Lowell,MA,1852
C00000137,60,7685 Temple Circle,Unit 76,Lynn,MA,1902
C00000138,54,60 Somerset Lane,,Houston,TX,46329
C00000139,8,47 S. Inverness Street,,Washington,DC,43854
C00000140,8,517 Willow Street,,Washington,DC,45693
C00000141,31,170 Carson Street,,Des Moines,IA,48957
C00000142,68,425 Liberty St.,,Cranston,RI,42917
C00000143,27,796 Fieldstone Court,,San Antonio,TX,40289
C00000144,65,351 Howard Ave.,,Newton,MA,2456
C00000145,55,71 Glen Ridge St.,,Lowell,MA,1853
C00000146,31,8934 San Pablo Lane,,Des Moines,IA,44598
C00000147,21,9 W. Glendale St.,,Omaha,NE,46886
C00000148,21,15 Pulaski Drive,,Omaha,NE,49466
C00000149,55,999 Sherman Lane,,Lowell,MA,1854
C00000150,2,500 Oakland St.,,Jacksonville,FL,42223
C00000151,51,48 N. High St.,,Springfield,MA,1102
C00000152,29,8338 Mammoth Rd.,,Newark,NJ,46823
C00000153,13,8426 Tarkiln Hill St.,,Oklahoma City,OK,44473
C00000154,74,814 Ocean Street,Apt. 4D,Chicago,IL,45276
C00000155,74,37 North Lexington St.,,Chicago,IL,43197
C00000156,54,1 Logan Rd.,,Houston,TX,42630
C00000157,52,89 Catherine St.,,New Haven,CT,48482
C00000158,40,9315 South Lane,,Fargo,ND,44477
C00000159,40,789 Old York St.,,Fargo,ND,46842
C00000160,64,651 High Ridge Road,,Phoenix,AZ,46913
C00000161,34,9946 Plymouth Dr.,,Little Rock,AR,48530
C00000162,65,217 Iroquois St.,,Newton,MA,2458
C00000163,74,70 S. Prince Ave.,,Chicago,IL,45141
C00000164,70,68 Foster Road,,Los Angeles,CA,49947
C00000165,22,91 North Hilldale Avenue,,Virginia Beach,VA,45391
C00000166,22,298 Garden St.,,Virginia Beach,VA,47211
C00000167,38,8555 Academy St.,,Bridgeport,CT,44650
C00000168,24,81 3rd Street,,New Orleans,LA,44745
C00000169,38,9688 Argyle St.,,Bridgeport,CT,42391
C00000170,38,165 Southampton St.,,Bridgeport,CT,40155
C00000171,51,7460 Lakewood Dr.,,Springfield,MA,1103
C00000172,51,689 Franklin Ave.,,Springfield,MA,1104
C00000173,21,22 Middle River Drive,,Omaha,NE,40697
C00000174,10,82 Peg Shop St.,,Detroit,MI,47608
C00000175,31,8019 West Howard Lane,,Des Moines,IA,45938
C00000176,4,8418 Tanglewood Circle,,Charlotte,NC,41595
C00000178,8,32 Mountainview Street,,Washington,DC,44871
C00000179,43,9895 Boston Ave.,,Wilmington,DE,46874
C00000180,73,120 East Greystone Dr.,,New Britain,CT,40498
C00000181,76,910 Applegate Dr.,,Yonkers,NY,10705
C00000182,76,377 Valley View St.,,Yonkers,NY,10706
C00000183,1,23 East Bay St.,,New York City,NY,10019
C00000184,1,53 Briarwood Street,,New York City,NY,10104
C00000185,77,9880 State Drive,,Syracuse,NY,13202
C00000186,46,18 Gulf Ave.,,San Diego,CA,44781
C00000187,58,41 Hill Field Lane,,Brockton,MA,2301
C00000188,64,7708 Honey Creek St.,,Phoenix,AZ,41298
C00000189,11,107 New Saddle Lane,,Nashville,TN,43717
C00000190,37,223 Newcastle Drive,,Jackson,MS,46951
C00000191,37,961 Westminster Dr.,,Jackson,MS,46616
