client_id,sex,fulldate,day,month,year,age,social,first,middle,last,phone,email
C00000001,Female,13-12-1990,13,12,1990,29,926-93-2157,Emma,Avaya,Smith,367-171-6840,emma.smith@gmail.com
C00000002,Male,04-02-1965,4,2,1965,54,806-94-5725,Noah,Everest,Thompson,212-423-7734,noah.thompson@gmail.com
C00000003,Female,09-10-1960,9,10,1960,59,614-70-9100,Olivia,Brooklynne,Johnson,212-425-6932,olivia.johnson@outlook.com
C00000004,Male,01-12-1976,1,12,1976,43,580-20-3414,Liam,Irvin,White,951-567-8925,liam.white@gmail.com
C00000005,Female,03-07-1980,3,7,1980,39,536-14-5809,Sophia,Danae,Williams,428-265-1568,sophia.williams@gmail.com
C00000006,Male,22-09-1939,22,9,1939,80,430-17-5825,Mason,Javen,Lopez,813-629-5038,mason.lopez7@gmail.com
C00000007,Male,25-01-1949,25,1,1949,71,305-80-4254,Jacob,Khai,Lee,836-845-8120,jacob.lee7@gmail.com
C00000008,Female,21-02-1958,21,2,1958,61,425-96-6358,Ava,Eliora,Brown,413-444-9280,ava.brown8@gmail.com
C00000009,Male,16-10-1955,16,10,1955,64,832-31-7252,William,Marek,Gonzalez,781-995-6192,william.marek.gonzalez@gmail.com
C00000010,Male,01-05-1963,1,5,1963,56,295-22-6122,Ethan,Veer,Harris,508-902-5510,ethan.harris9@gmail.com
C00000011,Female,22-08-1970,22,8,1970,49,666-36-2990,Isabella,Haidyn,Jones,508-688-6461,isabella.jones@hotmail.com
C00000012,Male,20-02-2001,20,2,2001,18,771-44-3992,James,Amauri,Clark,431-869-3807,james.clark9@gmail.com
C00000013,Female,29-05-1994,29,5,1994,25,618-33-8801,Mia,Hawa,Miller,840-168-6970,mia.miller@gmail.com
C00000014,Female,22-06-1962,22,6,1962,57,806-78-2944,Abigail,Inaaya,Davis,914-018-0811,abigail.davis5@gmail.com
C00000015,Female,28-08-1938,28,8,1938,81,711-78-2371,Emily,Joann,Garcia,556-415-7930,emily.garcia43@outlook.com
C00000016,Male,25-02-1939,25,2,1939,80,923-11-6562,Alexander,Bronx,Lewis,760-882-7015,alexander.lewis3@gmail.com
C00000017,Male,13-10-1954,13,10,1954,65,800-28-6783,Michael,Clifton,Robinson,914-238-1020,michael.robinson2@gmail.com
C00000018,Female,05-04-1951,5,4,1951,68,392-61-8907,Charlotte,Joi,Rodriguez,914-823-6406,charlotte.rodriguez2@gmail.com
C00000019,Male,28-12-1962,28,12,1962,57,832-01-3704,Benjamin,Denis,Walker,927-296-6436,benjamin.walker@gmail.com
C00000020,Male,04-01-1999,4,1,1999,21,419-19-0547,Elijah,Grayden,Perez,886-176-3524,elijah.perez@gmail.com
C00000021,Female,29-10-1972,29,10,1972,47,139-70-2852,Harper,Juno,Wilson,894-384-1832,harper.wilson@outlook.com
C00000022,Female,11-10-1989,11,10,1989,30,157-87-6583,Madison,Kimberlyn,Martinez,212-093-8170,madison.martinez@gmail.com
C00000023,Male,29-05-1993,29,5,1993,26,158-18-4299,Daniel,Isa,Hall,212-803-8384,daniel.hall67@gmail.com
C00000024,Female,29-07-1959,29,7,1959,60,637-42-2042,Amelia,Leora,Anderson,302-681-4855,amelia.anderson8@gmail.com
C00000025,Female,23-04-1959,23,4,1959,60,349-52-4604,Elizabeth,Lupita,Taylor,184-276-9486,elizabeth.taylor@gmail.com
C00000026,Female,20-04-1989,20,4,1989,30,956-04-7186,Sofia,Makaila,Thomas,660-390-7055,sofia.thomas@gmail.com
C00000027,Female,26-03-1986,26,3,1986,33,691-10-5744,Evelyn,Mari,Hernandez,407-745-6584,evelyn.mari.hernandez8@gmail.com
C00000028,Male,29-09-1965,29,9,1965,54,517-85-8773,Aiden,Jamil,Young,212-751-6276,aiden.young9@gmail.com
C00000029,Female,11-09-1971,11,9,1971,48,518-96-1042,Avery,Mildred,Moore,996-691-7268,avery.moore@hotmail.com
C00000030,Female,09-10-1977,9,10,1977,42,610-21-2152,Chloe,Odette,Martin,255-965-5392,chloe.martin8765@gmail.com
C00000031,Male,09-02-1982,9,2,1982,37,318-55-4386,Logan,Judd,Allen,452-935-2140,logan.allen4@gmail.com
C00000032,Male,28-07-2000,28,7,2000,19,755-20-3365,Matthew,Keyon,Sanchez,214-728-5200,matthew.sanchez3@gmail.com
C00000033,Female,04-12-1968,4,12,1968,51,956-56-8470,Ella,Triniti,Jackson,769-780-3102,ella.jackson4@outlook.com
C00000036,Female,17-07-1998,17,7,1998,21,611-81-5222,Grace,Emma,Thompson,530-856-5348,grace.thompson56@gmail.com
C00000037,Male,10-08-1990,10,8,1990,29,288-95-5033,Lucas,Korben,Wright,854-055-8899,lucas.wright5@gmail.com
C00000038,Female,23-07-1993,23,7,1993,26,881-47-7103,Victoria,Olivia,White,976-965-9681,victoria.white43@gmail.com
C00000039,Male,25-01-1988,25,1,1988,32,426-18-0606,Jackson,Rishaan,King,918-846-9875,jackson.king@gmail.com
C00000040,Female,22-01-1977,22,1,1977,43,461-50-3823,Aubrey,Sophia,Lopez,776-464-1839,aubrey.lopez@gmail.com
C00000041,Male,27-08-1988,27,8,1988,31,779-39-2212,David,Yousif,Scott,232-353-1692,david.scott@outlook.com
C00000042,Male,17-08-1955,17,8,1955,64,472-48-0888,Oliver,Bailey,Green,334-407-0626,oliver.green@gmail.com
C00000043,Male,28-10-1940,28,10,1940,79,445-32-4546,Jayden,Cedar,Baker,585-209-6726,jayden.baker4@gmail.com
C00000044,Female,11-01-1997,11,1,1997,23,396-63-1548,Scarlett,Ann,Lee,184-418-5826,scarlett.lee@gmail.com
C00000045,Male,26-08-1972,26,8,1972,47,665-55-8941,Joseph,Ely,Adams,786-924-4329,joseph.adams@gmail.com
C00000046,Female,30-01-1960,30,1,1960,60,883-63-2770,Zoey,Emma,Gonzalez,129-567-0397,zoey.gonzalez@gmail.com
C00000047,Male,14-07-1954,14,7,1954,65,247-03-1392,Gabriel,Jahlil,Nelson,914-406-1227,gabriel.jahlil.nelson@gmail.com
C00000048,Male,09-02-1960,9,2,1960,59,392-60-6346,Samuel,Koby,Hill,627-964-4534,samuel.hill@gmail.com
C00000049,Female,11-05-1979,11,5,1979,40,918-27-5875,Addison,Olivia,Harris,492-103-4485,addison.harris@hotmail.com
C00000050,Female,30-07-1998,30,7,1998,21,874-41-6125,Lily,Sophia,Clark,874-304-7236,lily.clark@gmail.com
C00000051,Female,02-12-1999,2,12,1999,20,605-79-6843,Lillian,Ava,Lewis,193-754-1578,lillian.lewis@gmail.com
C00000052,Male,12-12-1944,12,12,1944,75,599-20-6019,Carter,Markel,Ramirez,594-267-8218,carter.ramirez@gmail.com
C00000053,Male,05-05-1997,5,5,1997,22,749-94-5094,Anthony,Oskar,Campbell,123-412-3909,anthony.campbell@outlook.com
C00000055,Female,18-09-1968,18,9,1968,51,167-61-1121,Natalie,Isabella,Robinson,352-888-5607,natalie.robinson@gmail.com
C00000056,Male,31-03-1980,31,3,1980,39,986-31-0393,John,Rigoberto,Mitchell,943-306-4745,john.mitchell@gmail.com
C00000057,Female,17-12-1981,17,12,1981,38,767-26-4726,Hannah,Mia,Walker,410-131-4320,hannah.walker@gmail.com
C00000058,Female,29-04-1947,29,4,1947,72,810-95-8590,Aria,Abigail,Perez,212-621-0332,aria.perez@gmail.com
C00000059,Male,18-02-1977,18,2,1977,42,305-32-3513,Dylan,Tiberius,Roberts,212-616-4139,dylan.roberts@gmail.com
C00000060,Male,19-02-2000,19,2,2000,19,534-35-1562,Luke,Wolfgang,Carter,694-391-2679,luke.carter@outlook.com
C00000061,Female,06-08-1968,6,8,1968,51,890-87-8722,Layla,Emily,Hall,452-815-2646,layla.hall@gmail.com
C00000062,Male,08-12-1952,8,12,1952,67,721-99-5393,Henry,Chayce,Phillips,315-775-0721,henry.phillips@gmail.com
C00000063,Male,04-06-1979,4,6,1979,40,486-07-3316,Andrew,Deven,Evans,853-813-3217,andrew.evans@gmail.com
C00000064,Male,22-04-1946,22,4,1946,73,538-17-0630,Isaac,Levon,Turner,750-089-7210,isaac.turner@gmail.com
C00000065,Female,27-05-1963,27,5,1963,56,380-98-0077,Brooklyn,Charlotte,Young,716-102-4229,brooklyn.young@gmail.com
